SN,2010,2012,2014
1,16383,13900,14000
2,16383,13700,14000
3,16383,13700,14000
4,16300,13500,14000
5,16300,13400,14000
6,16300,13300,14000
7,16000,13200,14000
8,16000,13200,14000
9,15900,13200,14000
10,15900,13200,14000
11,15900,13200,14000
12,15900,13100,14000
13,15900,13100,14000
14,15900,13100,14000
15,15800,13000,14000
16,15800,13000,14000
17,15700,12900,14000
18,15700,12800,14000
19,15700,12700,14000
20,15700,12700,14000
21,15700,12600,14000
22,15600,12600,14000
23,15600,12500,14000
24,15600,12400,14000
25,15500,12400,14000
26,15500,12400,14000
27,15500,12300,14000
28,15500,12300,14000
29,15500,12300,14000
30,15500,12300,14000
31,15400,12300,14000
32,15400,12200,14000
33,15400,12200,14000
34,15400,12200,14000
35,15300,12200,14000
36,15300,12200,14000
37,15300,12100,14000
38,15300,12100,14000
39,15300,12100,14000
40,15300,12100,14000
41,15300,12100,14000
42,15200,12000,14000
43,15200,12000,14000
44,15200,12000,14000
45,15100,11900,14000
46,15100,11900,14000
47,15100,11900,14000
48,15100,11900,14000
49,15100,11900,14000
50,15100,11800,14000
51,15100,11800,14000
52,15000,11800,14000
53,15000,11800,14000
54,15000,11800,14000
55,15000,11700,14000
56,14900,11700,14000
57,14900,11600,14000
58,14900,11600,14000
59,14900,11600,14000
60,14900,11600,14000
61,14900,11600,14000
62,14800,11600,14000
63,14800,11500,14000
64,14800,11500,14000
65,14800,11500,14000
66,14800,11500,14000
67,14700,11500,13995
68,14700,11500,13986
69,14700,11400,13976
70,14700,11400,13967
71,14700,11400,13958
72,14700,11400,13949
73,14600,11400,13939
74,14600,11400,13902
75,14600,11400,13900
76,14600,11300,13893
77,14600,11300,13884
78,14600,11300,13875
79,14600,11300,13865
80,14600,11300,13856
81,14600,11300,13850
82,14500,11200,13847
83,14500,11200,13838
84,14500,11200,13800
85,14500,11200,13800
86,14500,11200,13800
87,14400,11100,13800
88,14400,11100,13800
89,14400,11100,13800
90,14400,11100,13800
91,14400,11100,13800
92,14400,11100,13800
93,14400,11100,13800
94,14400,11000,13800
95,14400,11000,13800
96,14400,11000,13800
97,14300,11000,13800
98,14300,10900,13800
99,14300,10900,13800
100,14300,10900,13800
101,14200,10900,13800
102,14200,10900,13800
103,14200,10800,13800
104,14200,10800,13800
105,14200,10800,13800
106,14200,10800,13800
107,14200,10800,13800
108,14200,10800,13800
109,14200,10800,13800
110,14100,10700,13800
111,14100,10700,13800
112,14100,10700,13750
113,14100,10700,13750
114,14100,10700,13750
115,14100,10700,13750
116,14100,10700,13750
117,14100,10600,13750
118,14100,10600,13750
119,14000,10600,13750
120,14000,10600,13750
121,14000,10600,13750
122,14000,10600,13750
123,14000,10600,13750
124,14000,10600,13750
125,14000,10600,13750
126,14000,10600,13750
127,14000,10500,13750
128,14000,10500,13650
129,14000,10500,13650
130,13900,10500,13650
131,13900,10500,13650
132,13900,10500,13650
133,13900,10500,13650
134,13900,10400,13650
135,13900,10400,13650
136,13900,10400,13650
137,13800,10400,13650
138,13800,10400,13650
139,13800,10400,13650
140,13800,10400,13650
141,13800,10300,13650
142,13800,10300,13650
143,13800,10300,13650
144,13700,10200,13650
145,13700,10200,13650
146,13700,10200,13650
147,13700,10200,13600
148,13700,10200,13570
149,13700,10200,13561
150,13700,10200,13514
151,13700,10100,13505
152,13700,10100,13500
153,13700,10100,13500
154,13700,10100,13500
155,13700,10100,13500
156,13700,10100,13500
157,13700,10100,13500
158,13700,10100,13500
159,13700,10100,13500
160,13600,10000,13500
161,13600,10000,13500
162,13600,10000,13500
163,13600,10000,13500
164,13600,10000,13500
165,13600,10000,13500
166,13600,10000,13500
167,13600,10000,13500
168,13600,10000,13500
169,13500,9900,13500
170,13500,9900,13500
171,13500,9900,13500
172,13500,9900,13468
173,13500,9900,13440
174,13500,9900,13431
175,13500,9900,13422
176,13500,9900,13413
177,13500,9900,13403
178,13500,9900,13400
179,13500,9900,13400
180,13500,9900,13400
181,13500,9800,13400
182,13500,9800,13400
183,13500,9800,13400
184,13500,9800,13400
185,13500,9800,13400
186,13500,9800,13400
187,13500,9700,13400
188,13500,9700,13400
189,13400,9700,13400
190,13400,9700,13400
191,13400,9700,13400
192,13400,9700,13400
193,13400,9700,13400
194,13400,9700,13400
195,13400,9700,13394
196,13400,9700,13320
197,13400,9700,13311
198,13400,9600,13256
199,13400,9600,13246
200,13300,9600,13219
201,13300,9600,13209
202,13300,9600,13200
203,13300,9600,13200
204,13300,9600,13200
205,13300,9600,13200
206,13300,9600,13200
207,13300,9600,13200
208,13300,9600,13200
209,13300,9600,13200
210,13300,9600,13200
211,13300,9600,13200
212,13300,9600,13200
213,13200,9500,13200
214,13200,9500,13200
215,13200,9500,13200
216,13200,9500,13200
217,13200,9500,13200
218,13200,9500,13200
219,13200,9500,13200
220,13200,9500,13200
221,13200,9500,13200
222,13200,9500,13200
223,13200,9500,13200
224,13200,9500,13200
225,13200,9500,13200
226,13200,9400,13200
227,13200,9400,13200
228,13100,9400,13200
229,13100,9400,13200
230,13100,9400,13200
231,13100,9400,13200
232,13100,9400,13200
233,13100,9400,13200
234,13100,9400,13200
235,13100,9300,13200
236,13100,9300,13200
237,13100,9300,13200
238,13000,9300,13200
239,13000,9300,13200
240,13000,9300,13200
241,13000,9300,13200
242,13000,9300,13191
243,13000,9300,13163
244,13000,9300,13100
245,13000,9300,13100
246,13000,9200,13100
247,13000,9200,13100
248,13000,9200,13100
249,13000,9200,13100
250,13000,9200,13100
251,13000,9200,13100
252,12900,9200,13100
253,12900,9200,13100
254,12900,9200,13100
255,12900,9200,13100
256,12900,9200,13100
257,12900,9200,13100
258,12900,9200,13100
259,12900,9200,13071
260,12900,9200,13015
261,12900,9200,13006
262,12900,9200,13000
263,12900,9200,13000
264,12800,9200,13000
265,12800,9200,13000
266,12800,9200,13000
267,12800,9200,13000
268,12800,9200,13000
269,12800,9200,13000
270,12800,9100,13000
271,12800,9100,13000
272,12800,9100,13000
273,12800,9100,13000
274,12800,9100,13000
275,12800,9100,13000
276,12700,9100,13000
277,12700,9100,13000
278,12700,9100,13000
279,12700,9100,13000
280,12700,9100,13000
281,12700,9100,13000
282,12700,9100,13000
283,12700,9100,13000
284,12700,9100,13000
285,12700,9100,13000
